City,State,Population
Bossier City, Louisiana,"68,316"
Rockville, Maryland,"68,028"
Muncie, Indiana,"68,115"
Gaithersburg, Maryland,"68,070"
Union City, New Jersey,"68,124"
West Des Moines, Iowa,"66,605"
South San Francisco, California,"67,617"
Yorba Linda, California,"67,589"
Conway, Arkansas,"67,032"
Lodi, California,"67,003"
Palatine village, Illinois,"67,942"
Ankeny, Iowa,"65,248"
Mount Vernon, New York,"67,655"
Rowlett, Texas,"66,126"
Waterloo, Iowa,"67,722"
Lakeville, Minnesota,"65,778"
Alpharetta, Georgia,"66,257"
Jackson, Tennessee,"66,952"
Yuba City, California,"66,695"
Oshkosh, Wisconsin,"66,802"
Victoria, Texas,"66,835"
Johnson City, Tennessee,"66,759"
Redondo Beach, California,"67,206"
Tamarac, Florida,"66,447"
Laguna Niguel, California,"66,079"
Eagan, Minnesota,"66,472"
Kenner, Louisiana,"66,584"
Auburn, Alabama,"65,495"
Ames, Iowa,"66,001"
Portland, Maine,"66,405"
North Little Rock, Arkansas,"66,022"
Sammamish, Washington,"65,495"
Madera, California,"65,440"
Shawnee, Kansas,"65,933"
Jupiter, Florida,"65,377"
Doral, Florida,"60,762"
Blaine, Minnesota,"65,082"
Tulare, California,"64,274"
Youngstown, Ohio,"64,860"
Wellington village, Florida,"65,058"
Pflugerville, Texas,"64,172"
Palo Alto, California,"66,258"
Schenectady, New York,"65,345"
Harlingen, Texas,"64,996"
Bayonne, New Jersey,"64,677"
Eden Prairie, Minnesota,"64,263"
Port Orange, Florida,"64,055"
Dublin, California,"63,423"
San Marcos, Texas,"63,688"
Noblesville, Indiana,"63,303"
Santa Cruz, California,"64,643"
Janesville, Wisconsin,"64,483"
San Clemente, California,"64,699"
Brentwood, California,"63,760"
East Orange, New Jersey,"64,258"
Cheyenne, Wyoming,"63,835"
Eastvale, California,"63,815"
Chapel Hill, North Carolina,"63,367"
Haverhill, Massachusetts,"63,926"
Lorain, Ohio,"63,984"
Grand Junction, Colorado,"63,131"
Springfield, Oregon,"62,806"
Coon Rapids, Minnesota,"62,491"
Idaho Falls, Idaho,"62,023"
North Miami, Florida,"63,481"
Encinitas, California,"62,750"
Skokie vi, Illinois,"63,171"
Leander, Texas,"55,924"
Waltham, Massachusetts,"62,563"
Council Bluffs, Iowa,"62,221"
Hamilton, Ohio,"62,132"
Moore, Oklahoma,"61,452"
Pico Rivera, California,"62,677"
Montebello, California,"62,440"
Millcreek, Utah,"61,060"
Sanford, Florida,"60,107"
National City, California,"61,272"
Burnsville, Minnesota,"61,162"
Coconut Creek, Florida,"61,205"
Lakewood, Washington,"60,511"
Taylor, Michigan,"61,163"
Novi, Michigan,"60,787"
Marietta, Georgia,"60,647"
Ocala, Florida,"60,274"
Terre Haute, Indiana,"60,775"
Woodland, California,"60,474"
Petaluma, California,"61,826"
La Habra, California,"60,778"
Malden, Massachusetts,"60,735"
Commerce City, Colorado,"58,324"
Owensboro, Kentucky,"59,745"
Bristol, Connecticut,"60,101"
West Allis, Wisconsin,"59,410"
Taylorsville, Utah,"60,005"
